;Nom;Adresse;Code_Postal;Ville;Telephone;Site_Internet;Style_Culinaire;Note;Suggestion;Prestation;Horaires;Longitude;Latitude
0;McDonald's Gattieres;av Joseph Beltrando rd pt Manda Lieu dit La Tourre;06510;GATTIÈRES;04 93 29 08 20;www.restaurants.mcdonalds.fr;fast food;4.0;;Wifi / Commande en ligne / Burger / Vente à emporter / L'Happy anniversaire / Les Desserts / Climatisation / L'offre Happy Meal / Facilités bébés / McDrive / Les Boissons / Fast Food / Accès handicapés / Les Sandwichs / L'offre McCafé / Les Salades / Hamburger / Les Menus / burger / Restauration rapide  / Restaurants ;['Lundi', '08h30 - 22h45', 'Mardi', '08h30 - 22h45', 'Mercredi', '08h30 - 22h45', 'Jeudi', '08h30 - 22h45', 'Vendredi', '08h30 - 23h00', 'Samedi', '08h30 - 23h00', 'Dimanche', '08h30 - 22h45'];43.766298;7.199209
1;La Cabraia;1 pl Cabraia;06380;SOSPEL;0493040054;www.la-cabraia.com;;;Fondant au chocolat maison / Tarte maison / Salade Cabraia / Salade de Chèvre chaud / Faux filet aux morilles / Faux filet grillé;accès pour personne à mobilité réduite / repas de groupe / Terrasse / Animaux acceptés;['Lundi', '11h00 - 14h00', '18h30 - 21h00', 'Mardi', '11h00 - 14h00', '18h30 - 21h00', 'Mercredi', '11h00 - 14h00', 'Jeudi', 'Vendredi', '11h00 - 14h00', '18h30 - 21h00', 'Samedi', '11h00 - 14h00', '18h30 - 21h00', 'Dimanche', '11h00 - 14h00', '18h30 - 21h00'];43.877682;7.447564
2;Plage du Festival;52 bd de la Croisette;06400;CANNES;04 93 39 37 37;www.plage-festival-cannes.com;Cuisine française;5.0;l'oeuf au plat, fricassée de cèpes, roquette et parmesan / Tartine gourmande de Chèvre de Roc Baron aux fruits d'automne / Risotto à la courge butternut et foie gras poelé / Filet de colin rôti, lentilles vertes et jus de daube / Fricassée de calamars aux pions d'ail, perugine et jus à l'encre;organisation de soirée d'entreprise / repas d'affaire / organisation d'événement / Wifi / Organisation de congrès / Mise à disposition de restaurants pour séminaires / salle de conférence / séminaire d'entreprise / banquet / salle de séminaire / organisation de séminaire / buffet de mariage / repas de mariage / Cuisine raffinée / Mise à disposition de restaurants pour réceptions / restaurant pour réception / plage privée / traiteur / Communication événementielle / Cuisine de saison / Mise à disposition de plages privées / repas d'anniversaire / repas de groupe / événementiel d'entreprise / location de salle / repas de fêtes / Terrasse / Restaurants  / Communication événementielle  / Plages privées  / Restaurants pour réceptions, pour séminaires  / Restaurants gastronomiques  / Organisation de séminaires, de congrès  / Restaurants avec terrasse  / Restaurants de poissons, fruits de mer ;['Lundi', '10h00 - 18h00', 'Mardi', '10h00 - 18h00', 'Mercredi', '10h00 - 18h00', 'Jeudi', '10h00 - 18h00', 'Vendredi', '10h00 - 18h00', 'Samedi', '10h00 - 18h00', 'Dimanche', '10h00 - 18h00'];;
3;Füsø Nice;2 r Paganini;06000;NICE;09 81 93 25 05;www.fusobowl.com;;;POKE : ONAKU (Base : Riz vinaigré, Avocat, Edamame, Grenade, tomates cerise) Radis, Muesli Mangue Au choix : Saumon, Thon, Poulet, Tofu / FUSION SIGNATURE : ASAMA (Base : Riz vinaigré, Avocat) Salade Wakame, Edamame, Oignons frits, Cream cheese, schichimi Au choix : Saumon Tataki, Thon tataki, Poulet teryaki, Tofu Teryaki;fast food diététique / plat à emporter / restaurant végétalien / livraison de plat / restaurant bio / Restaurants  / Restaurants japonais  / Restauration à domicile ;;;
4;L'ecrin Plage;Canto bd Croisette;06400;CANNES;04 93 43 43 33;www.ecrinplage.com;méditerranéen;5.0;;Wi-fi / Cuisine traditionnelle / terrasse / organisation d'événement / plage privée / Accès aux personnes à mobilité réduite / restaurant séminaire / wifi / repas de groupe / repas de mariage / parking / soirée à thème / Zone fumeur / restaurant repas de groupe / accès handicapés / organisation de baptême / Restaurant / Restaurants  / Organisation de séminaires, de congrès  / Restaurants gastronomiques  / Restaurants italiens  / Restaurants japonais  / Crêperies  / Pizzerias  / Restaurants pour réceptions, pour séminaires  / Organisation de mariages ;['Lundi', '10h00 - 23h00', 'Mardi', '10h00 - 23h00', 'Mercredi', '10h00 - 23h00', 'Jeudi', '10h00 - 23h00', 'Vendredi', '10h00 - 23h00', 'Samedi', '10h00 - 23h00', 'Dimanche', '10h00 - 23h00'];;
5;La Grange;4 pl Libération;06140;TOURRETTES SUR LOUP;04 93 59 28 28;;;;;Ecran de télévision géant / Grillades / Table d'hôtes de 14 couverts / Service wi-fi gratuit / Location de salles  / Restaurants  / Gastronomie : spécialités régionales  / Restaurants pour réceptions, pour séminaires ;['Lundi', '12h00 - 14h30', '18h30 - 21h30', 'Mardi', '12h00 - 14h30', '18h30 - 21h30', 'Mercredi', '12h00 - 14h30', '18h30 - 21h30', 'Jeudi', '12h00 - 14h30', '18h30 - 21h30', 'Vendredi', '12h00 - 14h30', '18h30 - 21h30', 'Samedi', '12h00 - 14h30', '18h30 - 21h30', 'Dimanche', '12h00 - 14h30', '18h30 - 21h30'];43.71681;7.058185
6;McDonald's Nice Massena;20av av Jean Médecin;06000;NICE;04 93 62 09 04;www.restaurants.mcdonalds.fr;pizzeria;1.0;;Wifi / Commande en ligne / Burger / Vente à emporter / L'Happy anniversaire / Les Desserts / Climatisation / L'offre Happy Meal / Facilités bébés / McDrive / Les Boissons / Fast Food / Accès handicapés / Les Sandwichs / L'offre McCafé / Les Salades / Hamburger / Les Menus / Restaurants  / Restauration rapide ;['Lundi', '07h30 - 00h00', 'Mardi', '07h30 - 00h00', 'Mercredi', '07h30 - 00h00', 'Jeudi', '07h30 - 00h00', 'Vendredi', '07h30 - 00h00', 'Samedi', '07h30 - 00h00', 'Dimanche', '07h30 - 00h00'];43.70014;7.26841
7;La Voglia;2 r St François de Paule;06300;NICE;04 93 80 99 16;www.lavoglia.com;Restaurant italien;1.0;Côté Desserts / Glaces artisanales / Antipasti misti / Un Pizzico di Voglia / Una Voglia di Pizza / Voglia di Focaccia;Facilités bébés / Pizzeria / Cuisine italienne / Restaurant / Repas de groupes / Climatisation / Produits artisanaux / Carte de pizzas / Animaux acceptés / Pizzerias  / Restaurants  / Restaurants de pâtes  / Restaurants italiens ;['Lundi', '12h00 - 14h30', '19h00 - 23h00', 'Mardi', '12h00 - 14h30', '19h00 - 23h00', 'Mercredi', '12h00 - 14h30', '19h00 - 23h00', 'Jeudi', '12h00 - 14h30', '19h00 - 23h00', 'Vendredi', '12h00 - 14h30', '19h00 - 23h00', 'Samedi', '12h00 - 14h30', '19h00 - 23h00', 'Dimanche', '12h00 - 14h30', '19h00 - 23h00'];43.69572;7.272233
8;Le D'lys Tacos;8 av Doct Dautheville Juan les Pins;06160;ANTIBES JUAN LES PINS;04 22 10 00 55;fr-fr.facebook.com;;;1 Viande (Menu avec Boisson + Frite) / 2 Viandes (Menu avec Boisson + Frite) / Merguez, salade, tomates (Menu avec Boisson + Frite) / Steack, Cheddar salade, tomates (Menu avec Boisson + Frite) / Tarte Daim;TACOS SAUCE FROMAGERE / Sur Place ou à emporter / Pâtes (Carbo, Bolognaise, Saumon..) / SANDWICH AMERICAIN / 7j/7 / KEBAB / BURGERS / SALADES / Livraison gratuite / Kebab  / Restaurants  / Sandwicheries  / Restauration rapide  / Restauration à domicile ;['Lundi', '11h30 - 14h00', '18h00 - 23h00', 'Mardi', '11h30 - 14h00', '18h00 - 23h00', 'Mercredi', '11h30 - 14h00', '18h00 - 23h00\n ', 'Jeudi', '11h30 - 14h00', '18h00 - 23h00', 'Vendredi', '11h30 - 14h00', '18h00 - 23h00', 'Samedi', '11h30 - 14h00', '18h00 - 23h00', 'Dimanche', '18h00 - 23h00'];43.580639;7.082988
9;Le Helem;bât Les Terrasses De La 10 bd Jean Hibert;06400;CANNES;06 43 33 31 62;http://www.lehelem.com;;;;grill / plateau repas / vue sur mer / repas de mariage / végétalien / enterrement de vie de jeune fille / accès internet / plat à emporter / restaurant végétarien / cuisine végétarienne / repas d'entreprises / enterrement de vie de garçon / restaurant pour réception / anglais parlé / parking / soirée à thème / restaurant repas de groupe / accès handicapés / animation musicale / plat du jour / menu végétarien / terrasse / repas d'affaire / gastronomique / menu à thème / salle privée / restaurant halal / dîner spectacle / restaurant bio / wifi / bar / organisation de réception / restaurant dansant / repas de fêtes / repas d'anniversaire / organisation de baptême / Restaurants  / Restaurants gastronomiques ;['Lundi', 'Mardi', '12h00 - 15h00', '19h00 - 23h00', 'Mercredi', '12h00 - 15h00', '19h00 - 23h00', 'Jeudi', '12h00 - 15h00', '19h00 - 23h00', 'Vendredi', '12h00 - 15h00', '19h00 - 23h00', 'Samedi', ' 12h00 - 15h00', '19h00 - 23h00', 'Dimanche', '12h00 - 15h00'];;
10;La Zagara;9 bd Kennedy;06800;CAGNES SUR MER;04 89 97 86 55;www.facebook.com;;;;plat à emporter / repas d'anniversaire / parking / accès handicapés / climatisation / repas de mariage / Pizzerias  / Restaurants  / Restaurants italiens ;['Lundi', '10h00 - 21h00', 'Mardi', '10h00 - 21h00', 'Mercredi', '10h00 - 21h00', 'Jeudi', '10h00 - 21h00', 'Vendredi', '10h00 - 21h00', 'Samedi', '10h00 - 21h00', 'Dimanche', '10h00 - 21h00'];;
