;Nom;Adresse;Code_Postal;Ville;Telephone;Site_Internet;Menu;Prix_Menu;Style_Culinaire;Note;Suggestion;Prix_Suggestion;Prestation;Horaires;Longitude;Latitude
0;La Piscine;146 rte de Lornard;74410;SAINT JORIOZ;04 50 68 63 29;www.chataigniers.com;;;Cuisine française;5.0;;;['Hôtel', 'Grill', 'Résidence hôtelière', 'Tennis', 'Résidence de tourisme', 'Piscine', 'Accès aux personnes à mobilité réduite', 'Squash', 'Restaurant', 'Garage', 'Organisation de séminaires', 'Spa', 'Restaurants ', 'Hôtels ', 'Location de salles ', 'Hôtels avec piscine ', 'Organisation de séminaires, de congrès ', 'Résidences de tourisme, résidences hôtelières '];;;
1;Granny Smith;4 r Louis Revon;74000;ANNECY;09 50 14 11 67;http://grannysmith.site-solocal.com;['Formule Duo (2 choix + Jus du jour) : ', 'Formule Crudivore : ', 'Formule Trio (3 choix + Jus du jour) : ', 'Formule spéciale : '];['13.50 €', '13.50 €', '15.50 €', '15.50 €'];;;['Petite', 'Tarte aux légumes du jour', 'Soupe du jour', 'Cookie', 'Mousse chocolat, Parfait spéculoos, Mouhalabieh...'];['4.90 €', '5.00 €', '5.50 €', '2.90 €', '4.90 €'];"['restauration sans matières grasses', 'karaoké', 'bagel', 'tarterie', 'végétalien', 'accès internet', 'bar à salade', 'cuisine végétarienne', 'plat à emporter', 'restaurant végétarien', 'coffee-shop', 'animaux acceptés', 'restaurant végétalien', 'anglais parlé', 'parking', 'soirée à thème', 'accès handicapés', 'brunch', 'animation musicale', 'restaurant sans gluten', 'plat du jour', 'bar à soupe', 'menu végétarien', 'terrasse', ""organisation d'événement"", 'restaurant vegan', 'cafétéria', 'restaurant halal', 'wifi', 'restaurant bio', 'kebab', 'fait maison', 'brunch bio', ""repas d'anniversaire"", 'saladerie', 'service continu', 'espace de jeux']";['Lundi', '09h00 - 21h30', 'Mardi', '09h00 - 21h30', 'Mercredi', '09h00 - 21h30', 'Jeudi', '09h00 - 21h30', 'Vendredi', '09h00 - 21h30', 'Samedi', '11h00 - 15h00', 'Dimanche'];;
2;Oxo;25 r Centrale;74940;ANNECY LE VIEUX;04 50 68 54 82;fr-fr.facebook.com;;;;;;;['terrasse', 'facilité bébé', 'wifi', 'brasserie'];['Lundi', '11h00 - 00h00', 'Mardi', '11h00 - 03h00', 'Mercredi', '11h00 - 03h00', 'Jeudi', '11h00 - 03h00', 'Vendredi', '11h00 - 03h00', 'Samedi', '11h00 - 03h00', 'Dimanche', '00h00 - 03h00'];;
3;La Piscine;146 rte de Lornard;74410;SAINT JORIOZ;04 50 68 63 29;www.chataigniers.com;;;Cuisine française;5.0;;;['Accès aux personnes à mobilité réduite', 'Restaurant', 'Grill', 'Squash', 'Tennis', 'Résidence hôtelière', 'Résidence de tourisme', 'Hôtel', 'Piscine', 'Organisation de sèminaires', 'Restaurants ', 'Hôtels ', 'Location de salles ', 'Hôtels avec piscine ', 'Organisation de séminaires, de congrès ', 'Résidences de tourisme, résidences hôtelières '];;;
4;KFC Annecy Seynod;12 chem Périaz;74600;SEYNOD;04 50 51 67 41;www.facebook.com;;;Restauration rapide;5.0;;;['Bornes de commande', 'Vegan', 'Poulet grillé', 'Poulet', 'Aire de jeux', 'Burger', 'Wrap', 'A emporter', 'WIFI', 'Uber Eats', 'Chèques Vacances', 'Drive', 'Hamburger', 'Sur place', 'Salade'];['Lundi', '11h00 - 23h00', 'Mardi', '11h00 - 23h00', 'Mercredi', '11h00 - 23h00', 'Jeudi', '11h00 - 23h00', 'Vendredi', '11h00 - 23h00', 'Samedi', '11h00 - 23h00', 'Dimanche', '11h00 - 23h00'];45.878116;6.089764
5;Restaurant A19;Zac Des Erables 2 all Chênes;74100;VÉTRAZ MONTHOUX;09 87 37 44 40;http://lea19.site-solocal.com;;;;;;;"['cuisine française', 'bar', 'plat à emporter', ""repas d'entreprises"", ""repas d'anniversaire"", 'parking', 'karaoké', 'Cuisine du terroir', 'climatisation', 'restaurant bio', 'Restaurant viande', 'brasserie', ""Repas d'entreprise"", 'Burger', 'Crêpe sans gluten', 'Produit local']";['Lundi', '11h00 - 14h30', 'Mardi', '11h00 - 14h30', 'Mercredi', '11h00 - 14h30', 'Jeudi', '11h00 - 14h30', '19h00 - 22h00', 'Vendredi', '11h00 - 14h30', '19h00 - 22h00', 'Samedi', '11h00 - 14h30', '19h00 - 22h00', 'Dimanche'];;
6;Restaurant le Jardin Impérial;11 r Genève;74100;ANNEMASSE;04 50 38 71 70;https://www.lejardinimperial.com;;;Restaurant chinois;5.0;;;"['Parking à proximité', 'Animaux acceptés', 'Plats à emporter', 'Salle climatisée', 'Accès aux personnes à mobilité réduite', 'Restaurant', 'Repas de groupe', ""Ouvert tous les jours, toute l'année"", 'Plat du jour', 'Menus']";['Lundi', '12h00 - 14h00', '19h00 - 22h30', 'Mardi', '12h00 - 14h00', '19h00 - 22h30', 'Mercredi', '12h00 - 14h00', '19h00 - 22h30', 'Jeudi', '12h00 - 14h00', ' 19h00 - 22h30', 'Vendredi', '12h00 - 14h00', '19h00 - 22h30', 'Samedi', '12h00 - 14h00', '19h00 - 22h30', 'Dimanche', '12h00 - 14h00', '19h00 - 22h30'];46.192746;6.231846
7;McDonald's Seynod;Centre Cial Géant Casino rn 201;74600;SEYNOD;04 50 10 95 46;www.restaurants.mcdonalds.fr;;;fast food;1.0;;;"[""L'Happy anniversaire"", 'Wifi', 'Burger', 'Accès handicapés', 'Les Sandwichs', 'Climatisation', ""L'offre Happy Meal"", 'Vente à emporter', 'Les Desserts', ""L'offre McCafé"", 'Facilités bébés', 'McDrive', 'Fast Food', 'Les Salades', 'Hamburger', 'Les Menus', 'Commande en ligne', 'Les Boissons', 'burger', 'Restauration rapide ', 'Restaurants ']";['Lundi', '10h30 - 22h30', 'Mardi', '10h30 - 22h30', 'Mercredi', '10h30 - 22h30', 'Jeudi', ' 10h30 - 22h30', 'Vendredi', '10h30 - 23h30', 'Samedi', '10h30 - 23h30', 'Dimanche', '10h30 - 22h30'];45.876746;6.089057
8;Restaurant les Pêcheurs;307 chem la Renouillere;74140;SCIEZ;04 50 72 62 21;https://www.restaurant-les-pecheurs.fr;;;Restaurant poisson;5.0;;;"['Restaurant familial, panoramique', 'Stationnement gratuit sur parking privé', 'repas de fêtes', 'plage privée', ""Repas d'affaire, de fête, d'anniversaire"", ""repas d'affaire"", 'terrasse', 'restaurant repas de groupe', ""Terrasse les pieds dans l'eau"", 'menu de fêtes', 'salle privée', 'parking', ""repas d'anniversaire"", 'Accès aux personnes à mobilité réduite', 'repas de groupe', ""repas d'entreprises"", 'accès handicapés', 'animaux acceptés', 'Restaurants ', 'Restaurants avec terrasse ']";;;
9;McDonald's Annecy;Centre Cial Carrefour 134 av Genève;74000;ANNECY;09 67 17 38 50;www.restaurants.mcdonalds.fr;;;fast food;1.0;;;"[""L'Happy anniversaire"", 'Wifi', 'Burger', 'Accès handicapés', 'Les Sandwichs', 'Climatisation', ""L'offre Happy Meal"", 'Vente à emporter', 'Les Desserts', ""L'offre McCafé"", 'Facilités bébés', 'McDrive', 'Fast Food', 'Les Salades', 'Hamburger', 'Les Menus', 'Commande en ligne', 'Les Boissons', 'burger', 'Restauration rapide ', 'Restaurants ']";['Lundi', '08h30 - 00h00', 'Mardi', '08h30 - 00h00', 'Mercredi', '08h30 - 00h00', 'Jeudi', '08h30 - 00h00', 'Vendredi', '08h30 - 00h00', 'Samedi', '08h30 - 00h00', 'Dimanche', '08h30 - 00h00'];45.924893;6.123964
