Name;address;Ville;CP;telephone;site
 TAJ  MAHAL ; 20  Grande  Rue ;74160; SAINT  JULIEN  EN  GENEVOIS ; 04  50  35  11  03 ;http://www.taj-mahal-restaurant.fr
 Le  Grenier ; 372  Charlet  Straton ;74400;ARGENTIÈRE; 04  50  54  06  00 ;restaurant-legrenier.com
 Restaurant  Le  Vieux  Megève ; 58  pl  Résistance ;74120;MEGÈVE; 04  50  21  16  44 ;http://restaurant.michelin.fr/29x0kov/le-vieux-megeve-megeve
L'Uzine; 41  r  Sommeiller ;74000;ANNECY; 04  50  51  10  66 ;http://www.restaurant-uzine-annecy.fr
Chinatown; 8  pass  Bains ;74000;ANNECY; 04  50  09  29  24 ;https://www.restaurant-chinois-annecy.fr
 Auberge  La  Ferme  de  Ferrières ; 800  rte  Burnets  pringy ;74000;ANNECY; 04  50  22  04  00 ;www.aubergelafermedeferrieres.com
Pacific; 9  r  René  Cassin ;74240;GAILLARD; 04  50  35  36  36 ;http://pacific.site-solocal.com
 Le  Redon ; 1  chem  de  la  plage ;74200;MARGENCEL; 04  50  72  27  51 ;www.leredon.com
 La  Piscine ; 146  rte  de  Lornard ;74410; SAINT  JORIOZ ; 04  50  68  63  29 ;www.chataigniers.com
 Le  Refuge ; 2220  rte  Frebouges  D'En  Haut ;74700;CORDON; 04  50  58  07  68 ;http://lerefuge.site-solocal.com
 McDonald's  Annecy ; Centre  Cial  Carrefour  134  av  Genève ;74000;ANNECY; 09  67  17  38  50 ;www.restaurants.mcdonalds.fr
 Restaurant  L'Abri-Cotier ; 49  ch  du  Ponton  Angon ;74290;TALLOIRES; 04  50  60  70  45 ;www.espace-lac.com
 Restaurant  les  Pêcheurs ; Port  De  Sciez  307  chem  Renouillere ;74140;SCIEZ; 04  50  72  62  21 ;https://www.restaurant-les-pecheurs.fr
L'ASTI; 17  av  Cran ;74000;ANNECY; 04  50  67  08  57 ;www.restaurant-pizzeria-annecy.fr
Oxo; 25  r  Centrale ;74940; ANNECY  LE  VIEUX ; 04  50  68  54  82 ;fr-fr.facebook.com
